genre,category
deep acoustic pop,pop
deep active rock,rock
deep adult standards,other
deep ambient,other
deep brazilian pop,pop
deep breakcore,other
deep ccm,other
deep chill,other
deep chill-out,other
deep christian rock,rock
deep classic garage rock,classic
deep comedy,other
deep contemporary country,other
deep dance pop,pop
deep darkpsy,other
deep deep house,other
deep delta blues,blues
deep disco,disco
deep disco house,disco
deep discofox,disco
deep dnb,other
deep downtempo fusion,other
deep dubstep,other
deep east coast hip hop,hiphop
deep euro house,other
deep eurodance,other
deep filthstep,other
deep flow,other
deep folk metal,folk
deep free jazz,jazz
deep freestyle,other
deep full on,other
deep funk,other
deep funk house,other
deep funk ostentacao,other
deep g funk,other
deep german hip hop,hiphop
deep german indie,other
deep german punk,punk
deep gothic post-punk,punk
deep groove house,other
deep happy hardcore,other
deep hardcore punk,punk
deep hardtechno,other
deep house,other
deep idm,other
deep indie pop,pop
deep indie rock,rock
deep indie singer-songwriter,other
deep italo disco,disco
deep jazz fusion,jazz
deep latin alternative,other
deep latin jazz,jazz
deep liquid,other
deep liquid bass,other
deep melodic death metal,metal
deep melodic hard rock,rock
deep melodic metalcore,metal
deep metalcore,metal
deep minimal techno,other
deep neo-synthpop,pop
deep neofolk,folk
deep new americana,other
deep new wave,other
deep norteno,other
deep northern soul,other
deep orgcore,other
deep pop edm,pop
deep pop emo,pop
deep power-pop punk,pop
deep progressive house,other
deep progressive rock,rock
deep progressive trance,other
deep psychobilly,other
deep psytrance,other
deep punk rock,punk
deep r&b,other
deep ragga,other
deep rai,other
deep smooth jazz,jazz
deep smooth r&b,other
deep soft rock,rock
deep soul house,other
deep soundtrack,other
deep southern soul,other
deep southern trap,trap
deep space rock,rock
deep sunset lounge,other
deep surf music,other
deep swedish rock,rock
deep symphonic black metal,metal
deep talent show,other
deep tech house,other
deep techno,other
deep tropical house,other
deep underground hip hop,hiphop
deep uplifting trance,other
deep vocal house,other
deep vocal jazz,jazz
delaware indie,other
delta blues,blues
dembow,other
demoscene,other
dennery segment,other
denpa-kei,other
denton tx indie,other
denver indie,other
denver metal,metal
denver rap,rap
depressive black metal,metal
derby indie,other
derry indie,other
desert blues,blues
desi hip hop,hiphop
desi pop,pop
desi trap,trap
dessin anime,other
destroy techno,other
detroit hip hop,hiphop
detroit house,other
detroit indie,other
detroit rock,rock
detroit techno,other
detroit trap,trap
detske pisnicky,other
deutschrock,rock
devon indie,other
dfw rap,rap
dhrupad,other
didgeridoo,other
digital hardcore,other
dikir barat,other
dirty south rap,rap
dirty texas rap,rap
disco,disco
disco house,disco
discofox,disco
dissonant death metal,metal
diva house,other
dixieland,other
diy emo,other
diy pop punk,pop
dizi,other
djembe,other
djent,other
dmv rap,rap
dominican indie,other
dominican pop,pop
dong-yo,other
doo-wop,other
doom metal,metal
doomcore,other
doomgaze,other
